#    L    TT             EE             BB             TE          
     2    0.24208E+04    0.21359E+00    0.27514E-05    0.13407E+02
     3    0.22165E+04    0.27639E+00    0.55077E-05    0.13285E+02
     4    0.20732E+04    0.26854E+00    0.91820E-05    0.12111E+02
     5    0.19719E+04    0.21385E+00    0.13776E-04    0.10502E+02
     6    0.19006E+04    0.14625E+00    0.19290E-04    0.88516E+01
     7    0.18511E+04    0.90124E-01    0.25726E-04    0.73580E+01
     8    0.18165E+04    0.54611E-01    0.33085E-04    0.61159E+01
     9    0.17936E+04    0.37138E-01    0.41369E-04    0.51506E+01
    10    0.17786E+04    0.30330E-01    0.50579E-04    0.44518E+01
    11    0.17681E+04    0.27495E-01    0.60717E-04    0.40004E+01
    12    0.17644E+04    0.24951E-01    0.71784E-04    0.37759E+01
    13    0.17645E+04    0.22356E-01    0.83782E-04    0.37153E+01
    14    0.17651E+04    0.20130E-01    0.96714E-04    0.37519E+01
    15    0.17670E+04    0.18921E-01    0.11058E-03    0.38517E+01
    16    0.17718E+04    0.19216E-01    0.12539E-03    0.39895E+01
    17    0.17794E+04    0.20622E-01    0.14113E-03    0.41434E+01
    18    0.17893E+04    0.22596E-01    0.15782E-03    0.42942E+01
    19    0.18003E+04    0.24878E-01    0.17545E-03    0.44297E+01
    20    0.18114E+04    0.27351E-01    0.19402E-03    0.45432E+01
    21    0.18227E+04    0.30187E-01    0.21355E-03    0.46430E+01
    22    0.18346E+04    0.33584E-01    0.23402E-03    0.47391E+01
    23    0.18470E+04    0.37569E-01    0.25545E-03    0.48336E+01
    24    0.18598E+04    0.42120E-01    0.27783E-03    0.49267E+01
    25    0.18729E+04    0.47192E-01    0.30117E-03    0.50217E+01
    26    0.18863E+04    0.52730E-01    0.32546E-03    0.51203E+01
    27    0.19001E+04    0.58668E-01    0.35072E-03    0.52179E+01
    28    0.19145E+04    0.64958E-01    0.37694E-03    0.53085E+01
    29    0.19292E+04    0.71641E-01    0.40412E-03    0.53873E+01
    30    0.19440E+04    0.78761E-01    0.43226E-03    0.54506E+01
    31    0.19591E+04    0.86272E-01    0.46137E-03    0.54961E+01
    32    0.19747E+04    0.94123E-01    0.49144E-03    0.55212E+01
    33    0.19908E+04    0.10234E+00    0.52248E-03    0.55221E+01
    34    0.20072E+04    0.11097E+00    0.55449E-03    0.54966E+01
    35    0.20237E+04    0.12006E+00    0.58746E-03    0.54517E+01
    36    0.20402E+04    0.12963E+00    0.62141E-03    0.53939E+01
    37    0.20570E+04    0.13966E+00    0.65631E-03    0.53181E+01
    38    0.20745E+04    0.15012E+00    0.69219E-03    0.52182E+01
    39    0.20925E+04    0.16103E+00    0.72902E-03    0.50968E+01
    40    0.21108E+04    0.17245E+00    0.76683E-03    0.49587E+01
    41    0.21293E+04    0.18440E+00    0.80559E-03    0.48072E+01
    42    0.21478E+04    0.19688E+00    0.84532E-03    0.46405E+01
    43    0.21666E+04    0.20985E+00    0.88601E-03    0.44558E+01
    44    0.21856E+04    0.22329E+00    0.92766E-03    0.42499E+01
    45    0.22049E+04    0.23717E+00    0.97026E-03    0.40199E+01
    46    0.22247E+04    0.25148E+00    0.10138E-02    0.37634E+01
    47    0.22448E+04    0.26621E+00    0.10583E-02    0.34816E+01
    48    0.22652E+04    0.28141E+00    0.11038E-02    0.31761E+01
    49    0.22860E+04    0.29708E+00    0.11502E-02    0.28489E+01
    50    0.23072E+04    0.31324E+00    0.11975E-02    0.25018E+01
    51    0.23286E+04    0.32992E+00    0.12458E-02    0.21360E+01
    52    0.23504E+04    0.34710E+00    0.12950E-02    0.17509E+01
    53    0.23726E+04    0.36475E+00    0.13452E-02    0.13455E+01
    54    0.23951E+04    0.38286E+00    0.13963E-02    0.91852E+00
    55    0.24181E+04    0.40140E+00    0.14483E-02    0.46897E+00
    56    0.24414E+04    0.42036E+00    0.15012E-02   -0.40371E-02
    57    0.24652E+04    0.43974E+00    0.15551E-02   -0.50018E+00
    58    0.24894E+04    0.45953E+00    0.16098E-02   -0.10189E+01
    59    0.25139E+04    0.47974E+00    0.16655E-02   -0.15596E+01
    60    0.25389E+04    0.50037E+00    0.17221E-02   -0.21216E+01
    61    0.25642E+04    0.52141E+00    0.17796E-02   -0.27046E+01
    62    0.25899E+04    0.54285E+00    0.18380E-02   -0.33084E+01
    63    0.26161E+04    0.56467E+00    0.18973E-02   -0.39332E+01
    64    0.26426E+04    0.58685E+00    0.19575E-02   -0.45791E+01
    65    0.26697E+04    0.60938E+00    0.20185E-02   -0.52461E+01
    66    0.26972E+04    0.63222E+00    0.20805E-02   -0.59341E+01
    67    0.27252E+04    0.65537E+00    0.21434E-02   -0.66421E+01
    68    0.27536E+04    0.67881E+00    0.22071E-02   -0.73690E+01
    69    0.27825E+04    0.70254E+00    0.22717E-02   -0.81136E+01
    70    0.28117E+04    0.72653E+00    0.23372E-02   -0.88748E+01
    71    0.28414E+04    0.75078E+00    0.24036E-02   -0.96515E+01
    72    0.28715E+04    0.77526E+00    0.24709E-02   -0.10444E+02
    73    0.29020E+04    0.79995E+00    0.25390E-02   -0.11254E+02
    74    0.29330E+04    0.82485E+00    0.26080E-02   -0.12080E+02
    75    0.29646E+04    0.84993E+00    0.26779E-02   -0.12924E+02
    76    0.29968E+04    0.87518E+00    0.27487E-02   -0.13786E+02
    77    0.30296E+04    0.90056E+00    0.28203E-02   -0.14665E+02
    78    0.30628E+04    0.92606E+00    0.28929E-02   -0.15561E+02
    79    0.30966E+04    0.95166E+00    0.29663E-02   -0.16471E+02
    80    0.31308E+04    0.97733E+00    0.30406E-02   -0.17395E+02
    81    0.31655E+04    0.10031E+01    0.31157E-02   -0.18331E+02
    82    0.32006E+04    0.10288E+01    0.31918E-02   -0.19279E+02
    83    0.32362E+04    0.10546E+01    0.32687E-02   -0.20238E+02
    84    0.32722E+04    0.10803E+01    0.33466E-02   -0.21207E+02
    85    0.33086E+04    0.11060E+01    0.34253E-02   -0.22186E+02
    86    0.33455E+04    0.11317E+01    0.35050E-02   -0.23173E+02
    87    0.33827E+04    0.11573E+01    0.35856E-02   -0.24167E+02
    88    0.34205E+04    0.11829E+01    0.36670E-02   -0.25170E+02
    89    0.34586E+04    0.12082E+01    0.37494E-02   -0.26179E+02
    90    0.34972E+04    0.12335E+01    0.38327E-02   -0.27195E+02
    91    0.35363E+04    0.12586E+01    0.39170E-02   -0.28217E+02
    92    0.35757E+04    0.12835E+01    0.40022E-02   -0.29245E+02
    93    0.36156E+04    0.13081E+01    0.40883E-02   -0.30277E+02
    94    0.36559E+04    0.13326E+01    0.41754E-02   -0.31313E+02
    95    0.36966E+04    0.13567E+01    0.42635E-02   -0.32352E+02
    96    0.37378E+04    0.13806E+01    0.43525E-02   -0.33393E+02
    97    0.37793E+04    0.14042E+01    0.44425E-02   -0.34435E+02
    98    0.38212E+04    0.14275E+01    0.45335E-02   -0.35478E+02
    99    0.38635E+04    0.14504E+01    0.46255E-02   -0.36520E+02
   100    0.39062E+04    0.14730E+01    0.47185E-02   -0.37562E+02
   101    0.39493E+04    0.14952E+01    0.48125E-02   -0.38601E+02
   102    0.39927E+04    0.15169E+01    0.49075E-02   -0.39638E+02
   103    0.40365E+04    0.15382E+01    0.50036E-02   -0.40672E+02
   104    0.40807E+04    0.15591E+01    0.51007E-02   -0.41701E+02
   105    0.41252E+04    0.15795E+01    0.51989E-02   -0.42724E+02
   106    0.41700E+04    0.15994E+01    0.52982E-02   -0.43742E+02
   107    0.42153E+04    0.16188E+01    0.53985E-02   -0.44753E+02
   108    0.42608E+04    0.16377E+01    0.54999E-02   -0.45757E+02
   109    0.43067E+04    0.16559E+01    0.56025E-02   -0.46752E+02
   110    0.43529E+04    0.16736E+01    0.57061E-02   -0.47737E+02
   111    0.43994E+04    0.16907E+01    0.58109E-02   -0.48713E+02
   112    0.44462E+04    0.17072E+01    0.59168E-02   -0.49678E+02
   113    0.44934E+04    0.17231E+01    0.60238E-02   -0.50631E+02
   114    0.45408E+04    0.17383E+01    0.61320E-02   -0.51571E+02
   115    0.45884E+04    0.17528E+01    0.62414E-02   -0.52499E+02
   116    0.46363E+04    0.17667E+01    0.63520E-02   -0.53412E+02
   117    0.46844E+04    0.17799E+01    0.64637E-02   -0.54309E+02
   118    0.47328E+04    0.17924E+01    0.65767E-02   -0.55191E+02
   119    0.47813E+04    0.18042E+01    0.66908E-02   -0.56057E+02
   120    0.48301E+04    0.18153E+01    0.68062E-02   -0.56904E+02
   121    0.48790E+04    0.18257E+01    0.69229E-02   -0.57733E+02
   122    0.49280E+04    0.18353E+01    0.70407E-02   -0.58543E+02
   123    0.49772E+04    0.18442E+01    0.71599E-02   -0.59333E+02
   124    0.50265E+04    0.18523E+01    0.72802E-02   -0.60102E+02
   125    0.50760E+04    0.18596E+01    0.74019E-02   -0.60849E+02
   126    0.51255E+04    0.18662E+01    0.75249E-02   -0.61574E+02
   127    0.51751E+04    0.18719E+01    0.76491E-02   -0.62275E+02
   128    0.52248E+04    0.18768E+01    0.77747E-02   -0.62952E+02
   129    0.52745E+04    0.18809E+01    0.79016E-02   -0.63604E+02
   130    0.53243E+04    0.18842E+01    0.80298E-02   -0.64230E+02
   131    0.53741E+04    0.18866E+01    0.81593E-02   -0.64829E+02
   132    0.54238E+04    0.18881E+01    0.82902E-02   -0.65401E+02
   133    0.54736E+04    0.18889E+01    0.84224E-02   -0.65945E+02
   134    0.55234E+04    0.18888E+01    0.85560E-02   -0.66460E+02
   135    0.55731E+04    0.18878E+01    0.86910E-02   -0.66946E+02
   136    0.56228E+04    0.18861E+01    0.88273E-02   -0.67402E+02
   137    0.56724E+04    0.18836E+01    0.89651E-02   -0.67828E+02
   138    0.57219E+04    0.18802E+01    0.91042E-02   -0.68223E+02
   139    0.57713E+04    0.18761E+01    0.92448E-02   -0.68586E+02
   140    0.58206E+04    0.18712E+01    0.93867E-02   -0.68918E+02
   141    0.58698E+04    0.18655E+01    0.95301E-02   -0.69216E+02
   142    0.59188E+04    0.18591E+01    0.96749E-02   -0.69481E+02
   143    0.59677E+04    0.18519E+01    0.98211E-02   -0.69712E+02
   144    0.60164E+04    0.18439E+01    0.99688E-02   -0.69908E+02
   145    0.60649E+04    0.18353E+01    0.10118E-01   -0.70070E+02
   146    0.61132E+04    0.18258E+01    0.10268E-01   -0.70195E+02
   147    0.61613E+04    0.18157E+01    0.10421E-01   -0.70284E+02
   148    0.62091E+04    0.18048E+01    0.10574E-01   -0.70336E+02
   149    0.62567E+04    0.17932E+01    0.10729E-01   -0.70351E+02
   150    0.63041E+04    0.17809E+01    0.10885E-01   -0.70327E+02
   151    0.63512E+04    0.17680E+01    0.11043E-01   -0.70265E+02
   152    0.63979E+04    0.17543E+01    0.11203E-01   -0.70164E+02
   153    0.64444E+04    0.17401E+01    0.11364E-01   -0.70024E+02
   154    0.64906E+04    0.17252E+01    0.11526E-01   -0.69845E+02
   155    0.65364E+04    0.17098E+01    0.11690E-01   -0.69626E+02
   156    0.65819E+04    0.16938E+01    0.11856E-01   -0.69369E+02
   157    0.66269E+04    0.16774E+01    0.12023E-01   -0.69071E+02
   158    0.66717E+04    0.16605E+01    0.12191E-01   -0.68735E+02
   159    0.67160E+04    0.16431E+01    0.12361E-01   -0.68359E+02
   160    0.67599E+04    0.16254E+01    0.12533E-01   -0.67943E+02
   161    0.68034E+04    0.16073E+01    0.12706E-01   -0.67487E+02
   162    0.68464E+04    0.15889E+01    0.12881E-01   -0.66992E+02
   163    0.68890E+04    0.15701E+01    0.13057E-01   -0.66456E+02
   164    0.69311E+04    0.15511E+01    0.13234E-01   -0.65881E+02
   165    0.69727E+04    0.15319E+01    0.13414E-01   -0.65265E+02
   166    0.70138E+04    0.15125E+01    0.13595E-01   -0.64609E+02
   167    0.70544E+04    0.14929E+01    0.13777E-01   -0.63913E+02
   168    0.70945E+04    0.14732E+01    0.13961E-01   -0.63176E+02
   169    0.71340E+04    0.14534E+01    0.14146E-01   -0.62398E+02
   170    0.71730E+04    0.14335E+01    0.14333E-01   -0.61580E+02
   171    0.72114E+04    0.14136E+01    0.14522E-01   -0.60721E+02
   172    0.72492E+04    0.13936E+01    0.14712E-01   -0.59821E+02
   173    0.72864E+04    0.13738E+01    0.14903E-01   -0.58880E+02
   174    0.73229E+04    0.13539E+01    0.15096E-01   -0.57898E+02
   175    0.73589E+04    0.13342E+01    0.15291E-01   -0.56875E+02
   176    0.73941E+04    0.13146E+01    0.15487E-01   -0.55811E+02
   177    0.74288E+04    0.12952E+01    0.15685E-01   -0.54705E+02
   178    0.74627E+04    0.12761E+01    0.15884E-01   -0.53559E+02
   179    0.74960E+04    0.12572E+01    0.16085E-01   -0.52373E+02
   180    0.75286E+04    0.12387E+01    0.16287E-01   -0.51147E+02
   181    0.75604E+04    0.12206E+01    0.16491E-01   -0.49882E+02
   182    0.75916E+04    0.12029E+01    0.16696E-01   -0.48578E+02
   183    0.76221E+04    0.11858E+01    0.16902E-01   -0.47235E+02
   184    0.76518E+04    0.11692E+01    0.17110E-01   -0.45855E+02
   185    0.76808E+04    0.11532E+01    0.17320E-01   -0.44436E+02
   186    0.77090E+04    0.11379E+01    0.17531E-01   -0.42980E+02
   187    0.77365E+04    0.11233E+01    0.17743E-01   -0.41486E+02
   188    0.77632E+04    0.11095E+01    0.17957E-01   -0.39956E+02
   189    0.77892E+04    0.10966E+01    0.18172E-01   -0.38390E+02
   190    0.78143E+04    0.10845E+01    0.18389E-01   -0.36788E+02
   191    0.78387E+04    0.10733E+01    0.18607E-01   -0.35151E+02
   192    0.78622E+04    0.10632E+01    0.18826E-01   -0.33478E+02
   193    0.78850E+04    0.10541E+01    0.19047E-01   -0.31770E+02
   194    0.79069E+04    0.10461E+01    0.19269E-01   -0.30029E+02
   195    0.79279E+04    0.10392E+01    0.19492E-01   -0.28253E+02
   196    0.79482E+04    0.10336E+01    0.19717E-01   -0.26444E+02
   197    0.79676E+04    0.10292E+01    0.19943E-01   -0.24601E+02
   198    0.79861E+04    0.10261E+01    0.20170E-01   -0.22726E+02
   199    0.80037E+04    0.10244E+01    0.20398E-01   -0.20818E+02
   200    0.80205E+04    0.10241E+01    0.20628E-01   -0.18878E+02
   201    0.80364E+04    0.10253E+01    0.20858E-01   -0.16907E+02
   202    0.80514E+04    0.10280E+01    0.21090E-01   -0.14905E+02
   203    0.80655E+04    0.10323E+01    0.21323E-01   -0.12873E+02
   204    0.80787E+04    0.10382E+01    0.21557E-01   -0.10813E+02
   205    0.80910E+04    0.10457E+01    0.21792E-01   -0.87249E+01
   206    0.81024E+04    0.10550E+01    0.22029E-01   -0.66103E+01
   207    0.81129E+04    0.10660E+01    0.22266E-01   -0.44700E+01
   208    0.81226E+04    0.10788E+01    0.22504E-01   -0.23050E+01
   209    0.81313E+04    0.10935E+01    0.22743E-01   -0.11637E+00
   210    0.81392E+04    0.11101E+01    0.22984E-01    0.20949E+01
   211    0.81462E+04    0.11286E+01    0.23225E-01    0.43279E+01
   212    0.81523E+04    0.11491E+01    0.23467E-01    0.65816E+01
   213    0.81575E+04    0.11717E+01    0.23710E-01    0.88550E+01
   214    0.81618E+04    0.11963E+01    0.23953E-01    0.11147E+02
   215    0.81653E+04    0.12230E+01    0.24198E-01    0.13457E+02
   216    0.81678E+04    0.12520E+01    0.24443E-01    0.15783E+02
   217    0.81695E+04    0.12831E+01    0.24689E-01    0.18125E+02
   218    0.81703E+04    0.13166E+01    0.24936E-01    0.20482E+02
   219    0.81702E+04    0.13523E+01    0.25184E-01    0.22853E+02
   220    0.81693E+04    0.13904E+01    0.25432E-01    0.25236E+02
   221    0.81674E+04    0.14310E+01    0.25681E-01    0.27631E+02
   222    0.81647E+04    0.14740E+01    0.25930E-01    0.30037E+02
   223    0.81610E+04    0.15195E+01    0.26180E-01    0.32452E+02
   224    0.81565E+04    0.15675E+01    0.26431E-01    0.34876E+02
   225    0.81512E+04    0.16181E+01    0.26682E-01    0.37308E+02
   226    0.81449E+04    0.16714E+01    0.26934E-01    0.39747E+02
   227    0.81378E+04    0.17274E+01    0.27186E-01    0.42192E+02
   228    0.81297E+04    0.17861E+01    0.27438E-01    0.44641E+02
   229    0.81209E+04    0.18476E+01    0.27691E-01    0.47094E+02
   230    0.81111E+04    0.19120E+01    0.27945E-01    0.49550E+02
   231    0.81004E+04    0.19792E+01    0.28198E-01    0.52007E+02
   232    0.80889E+04    0.20493E+01    0.28452E-01    0.54466E+02
   233    0.80765E+04    0.21224E+01    0.28706E-01    0.56924E+02
   234    0.80632E+04    0.21986E+01    0.28961E-01    0.59381E+02
   235    0.80491E+04    0.22778E+01    0.29215E-01    0.61836E+02
   236    0.80340E+04    0.23601E+01    0.29470E-01    0.64288E+02
   237    0.80181E+04    0.24455E+01    0.29725E-01    0.66735E+02
   238    0.80014E+04    0.25342E+01    0.29981E-01    0.69178E+02
   239    0.79837E+04    0.26261E+01    0.30236E-01    0.71614E+02
   240    0.79652E+04    0.27214E+01    0.30491E-01    0.74043E+02
   241    0.79458E+04    0.28199E+01    0.30747E-01    0.76464E+02
   242    0.79255E+04    0.29219E+01    0.31002E-01    0.78876E+02
   243    0.79044E+04    0.30272E+01    0.31257E-01    0.81278E+02
   244    0.78824E+04    0.31360E+01    0.31513E-01    0.83669E+02
   245    0.78596E+04    0.32482E+01    0.31768E-01    0.86048E+02
   246    0.78359E+04    0.33638E+01    0.32023E-01    0.88414E+02
   247    0.78114E+04    0.34828E+01    0.32278E-01    0.90766E+02
   248    0.77861E+04    0.36051E+01    0.32533E-01    0.93102E+02
   249    0.77601E+04    0.37307E+01    0.32788E-01    0.95423E+02
   250    0.77332E+04    0.38597E+01    0.33042E-01    0.97727E+02
   251    0.77056E+04    0.39919E+01    0.33296E-01    0.10001E+03
   252    0.76772E+04    0.41274E+01    0.33550E-01    0.10228E+03
   253    0.76481E+04    0.42662E+01    0.33803E-01    0.10453E+03
   254    0.76183E+04    0.44082E+01    0.34057E-01    0.10675E+03
   255    0.75878E+04    0.45535E+01    0.34309E-01    0.10896E+03
   256    0.75565E+04    0.47020E+01    0.34562E-01    0.11114E+03
   257    0.75246E+04    0.48536E+01    0.34814E-01    0.11330E+03
   258    0.74920E+04    0.50084E+01    0.35065E-01    0.11543E+03
   259    0.74588E+04    0.51664E+01    0.35316E-01    0.11754E+03
   260    0.74249E+04    0.53275E+01    0.35567E-01    0.11962E+03
   261    0.73904E+04    0.54918E+01    0.35817E-01    0.12167E+03
   262    0.73553E+04    0.56591E+01    0.36066E-01    0.12370E+03
   263    0.73195E+04    0.58295E+01    0.36315E-01    0.12569E+03
   264    0.72832E+04    0.60030E+01    0.36563E-01    0.12766E+03
   265    0.72463E+04    0.61796E+01    0.36811E-01    0.12959E+03
   266    0.72089E+04    0.63592E+01    0.37057E-01    0.13149E+03
   267    0.71709E+04    0.65418E+01    0.37304E-01    0.13335E+03
   268    0.71323E+04    0.67274E+01    0.37549E-01    0.13519E+03
   269    0.70932E+04    0.69160E+01    0.37793E-01    0.13698E+03
   270    0.70537E+04    0.71075E+01    0.38037E-01    0.13874E+03
   271    0.70136E+04    0.73020E+01    0.38280E-01    0.14046E+03
   272    0.69730E+04    0.74994E+01    0.38522E-01    0.14215E+03
   273    0.69320E+04    0.76997E+01    0.38764E-01    0.14379E+03
   274    0.68905E+04    0.79030E+01    0.39004E-01    0.14540E+03
   275    0.68486E+04    0.81090E+01    0.39244E-01    0.14696E+03
   276    0.68063E+04    0.83180E+01    0.39482E-01    0.14848E+03
   277    0.67635E+04    0.85298E+01    0.39720E-01    0.14996E+03
   278    0.67203E+04    0.87444E+01    0.39956E-01    0.15139E+03
   279    0.66768E+04    0.89619E+01    0.40192E-01    0.15278E+03
   280    0.66328E+04    0.91821E+01    0.40427E-01    0.15412E+03
   281    0.65885E+04    0.94051E+01    0.40660E-01    0.15541E+03
   282    0.65439E+04    0.96308E+01    0.40893E-01    0.15666E+03
   283    0.64989E+04    0.98593E+01    0.41124E-01    0.15785E+03
   284    0.64536E+04    0.10091E+02    0.41355E-01    0.15900E+03
   285    0.64080E+04    0.10324E+02    0.41584E-01    0.16009E+03
   286    0.63621E+04    0.10561E+02    0.41812E-01    0.16114E+03
   287    0.63159E+04    0.10800E+02    0.42039E-01    0.16213E+03
   288    0.62694E+04    0.11041E+02    0.42265E-01    0.16307E+03
   289    0.62227E+04    0.11285E+02    0.42490E-01    0.16396E+03
   290    0.61757E+04    0.11531E+02    0.42714E-01    0.16480E+03
   291    0.61286E+04    0.11780E+02    0.42936E-01    0.16559E+03
   292    0.60812E+04    0.12030E+02    0.43157E-01    0.16632E+03
   293    0.60337E+04    0.12282E+02    0.43377E-01    0.16701E+03
   294    0.59860E+04    0.12536E+02    0.43596E-01    0.16764E+03
   295    0.59381E+04    0.12792E+02    0.43814E-01    0.16822E+03
   296    0.58901E+04    0.13049E+02    0.44030E-01    0.16874E+03
   297    0.58419E+04    0.13309E+02    0.44246E-01    0.16922E+03
   298    0.57937E+04    0.13569E+02    0.44460E-01    0.16964E+03
   299    0.57453E+04    0.13831E+02    0.44672E-01    0.17001E+03
   300    0.56969E+04    0.14095E+02    0.44884E-01    0.17032E+03
   301    0.56484E+04    0.14359E+02    0.45094E-01    0.17059E+03
   302    0.55998E+04    0.14625E+02    0.45303E-01    0.17080E+03
   303    0.55512E+04    0.14892E+02    0.45511E-01    0.17096E+03
   304    0.55026E+04    0.15159E+02    0.45718E-01    0.17106E+03
   305    0.54540E+04    0.15428E+02    0.45923E-01    0.17111E+03
   306    0.54055E+04    0.15697E+02    0.46128E-01    0.17111E+03
   307    0.53569E+04    0.15967E+02    0.46331E-01    0.17106E+03
   308    0.53084E+04    0.16238E+02    0.46533E-01    0.17095E+03
   309    0.52599E+04    0.16509E+02    0.46733E-01    0.17079E+03
   310    0.52115E+04    0.16780E+02    0.46933E-01    0.17057E+03
   311    0.51632E+04    0.17052E+02    0.47131E-01    0.17030E+03
   312    0.51150E+04    0.17324E+02    0.47328E-01    0.16998E+03
   313    0.50670E+04    0.17596E+02    0.47524E-01    0.16960E+03
   314    0.50190E+04    0.17868E+02    0.47718E-01    0.16917E+03
   315    0.49712E+04    0.18140E+02    0.47912E-01    0.16868E+03
   316    0.49236E+04    0.18412E+02    0.48104E-01    0.16814E+03
   317    0.48762E+04    0.18683E+02    0.48296E-01    0.16755E+03
   318    0.48289E+04    0.18955E+02    0.48486E-01    0.16690E+03
   319    0.47819E+04    0.19225E+02    0.48675E-01    0.16619E+03
   320    0.47351E+04    0.19496E+02    0.48863E-01    0.16544E+03
   321    0.46885E+04    0.19765E+02    0.49050E-01    0.16462E+03
   322    0.46422E+04    0.20034E+02    0.49236E-01    0.16375E+03
   323    0.45962E+04    0.20302E+02    0.49421E-01    0.16283E+03
   324    0.45504E+04    0.20570E+02    0.49604E-01    0.16185E+03
   325    0.45050E+04    0.20836E+02    0.49787E-01    0.16082E+03
   326    0.44599E+04    0.21101E+02    0.49969E-01    0.15973E+03
   327    0.44151E+04    0.21365E+02    0.50150E-01    0.15858E+03
   328    0.43706E+04    0.21628E+02    0.50330E-01    0.15738E+03
   329    0.43265E+04    0.21890E+02    0.50509E-01    0.15613E+03
   330    0.42828E+04    0.22149E+02    0.50687E-01    0.15482E+03
   331    0.42394E+04    0.22408E+02    0.50864E-01    0.15347E+03
   332    0.41964E+04    0.22665E+02    0.51040E-01    0.15206E+03
   333    0.41538E+04    0.22920E+02    0.51215E-01    0.15060E+03
   334    0.41116E+04    0.23173E+02    0.51390E-01    0.14909E+03
   335    0.40698E+04    0.23424E+02    0.51564E-01    0.14753E+03
   336    0.40283E+04    0.23673E+02    0.51737E-01    0.14593E+03
   337    0.39873E+04    0.23920E+02    0.51909E-01    0.14427E+03
   338    0.39467E+04    0.24165E+02    0.52080E-01    0.14258E+03
   339    0.39066E+04    0.24407E+02    0.52251E-01    0.14083E+03
   340    0.38669E+04    0.24647E+02    0.52421E-01    0.13905E+03
   341    0.38276E+04    0.24884E+02    0.52590E-01    0.13721E+03
   342    0.37888E+04    0.25119E+02    0.52759E-01    0.13534E+03
   343    0.37504E+04    0.25351E+02    0.52927E-01    0.13343E+03
   344    0.37125E+04    0.25580E+02    0.53094E-01    0.13147E+03
   345    0.36751E+04    0.25806E+02    0.53261E-01    0.12948E+03
   346    0.36382E+04    0.26030E+02    0.53427E-01    0.12744E+03
   347    0.36017E+04    0.26250E+02    0.53593E-01    0.12537E+03
   348    0.35658E+04    0.26467E+02    0.53759E-01    0.12326E+03
   349    0.35304E+04    0.26680E+02    0.53923E-01    0.12112E+03
   350    0.34955E+04    0.26890E+02    0.54088E-01    0.11894E+03
   351    0.34611E+04    0.27097E+02    0.54252E-01    0.11672E+03
   352    0.34273E+04    0.27299E+02    0.54416E-01    0.11447E+03
   353    0.33939E+04    0.27499E+02    0.54579E-01    0.11219E+03
   354    0.33612E+04    0.27694E+02    0.54742E-01    0.10987E+03
   355    0.33290E+04    0.27885E+02    0.54905E-01    0.10753E+03
   356    0.32973E+04    0.28073E+02    0.55067E-01    0.10515E+03
   357    0.32663E+04    0.28256E+02    0.55229E-01    0.10275E+03
   358    0.32358E+04    0.28435E+02    0.55391E-01    0.10031E+03
   359    0.32059E+04    0.28610E+02    0.55553E-01    0.97852E+02
   360    0.31766E+04    0.28781E+02    0.55715E-01    0.95364E+02
   361    0.31479E+04    0.28946E+02    0.55877E-01    0.92849E+02
   362    0.31198E+04    0.29108E+02    0.56038E-01    0.90309E+02
   363    0.30924E+04    0.29264E+02    0.56200E-01    0.87745E+02
   364    0.30655E+04    0.29416E+02    0.56361E-01    0.85158E+02
   365    0.30393E+04    0.29563E+02    0.56523E-01    0.82548E+02
   366    0.30138E+04    0.29705E+02    0.56685E-01    0.79916E+02
   367    0.29889E+04    0.29842E+02    0.56847E-01    0.77264E+02
   368    0.29646E+04    0.29973E+02    0.57008E-01    0.74591E+02
   369    0.29411E+04    0.30100E+02    0.57171E-01    0.71900E+02
   370    0.29182E+04    0.30221E+02    0.57333E-01    0.69190E+02
   371    0.28959E+04    0.30337E+02    0.57496E-01    0.66464E+02
   372    0.28743E+04    0.30447E+02    0.57659E-01    0.63722E+02
   373    0.28534E+04    0.30552E+02    0.57822E-01    0.60965E+02
   374    0.28331E+04    0.30652E+02    0.57985E-01    0.58196E+02
   375    0.28135E+04    0.30746E+02    0.58149E-01    0.55414E+02
   376    0.27945E+04    0.30835E+02    0.58314E-01    0.52622E+02
   377    0.27762E+04    0.30919E+02    0.58479E-01    0.49820E+02
   378    0.27585E+04    0.30997E+02    0.58644E-01    0.47009E+02
   379    0.27414E+04    0.31070E+02    0.58810E-01    0.44192E+02
   380    0.27250E+04    0.31138E+02    0.58976E-01    0.41368E+02
   381    0.27092E+04    0.31200E+02    0.59143E-01    0.38539E+02
   382    0.26940E+04    0.31257E+02    0.59311E-01    0.35707E+02
   383    0.26794E+04    0.31308E+02    0.59479E-01    0.32872E+02
   384    0.26655E+04    0.31354E+02    0.59648E-01    0.30036E+02
   385    0.26522E+04    0.31395E+02    0.59818E-01    0.27200E+02
   386    0.26395E+04    0.31430E+02    0.59989E-01    0.24364E+02
   387    0.26274E+04    0.31459E+02    0.60160E-01    0.21531E+02
   388    0.26159E+04    0.31483E+02    0.60332E-01    0.18702E+02
   389    0.26051E+04    0.31502E+02    0.60505E-01    0.15877E+02
   390    0.25948E+04    0.31515E+02    0.60679E-01    0.13057E+02
   391    0.25851E+04    0.31522E+02    0.60854E-01    0.10245E+02
   392    0.25761E+04    0.31524E+02    0.61030E-01    0.74409E+01
   393    0.25676E+04    0.31521E+02    0.61207E-01    0.46461E+01
   394    0.25597E+04    0.31512E+02    0.61384E-01    0.18617E+01
   395    0.25524E+04    0.31497E+02    0.61563E-01   -0.91098E+00
   396    0.25457E+04    0.31477E+02    0.61743E-01   -0.36708E+01
